Vital,Category,Min Value,Max Value,Notes
BMI,Underweight,0,18.4,"Implication: The patient's BMI is below the healthy range, indicating underweight status which may be associated with malnutrition, chronic illness, poor dietary intake, or metabolic disorders. Clinical Action: The health worker should assess nutritional history, recent weight loss, appetite, and possible underlying medical conditions. Advice to Patient: Encourage regular meals and adequate nutrition. Lifestyle Recommendations: Increase caloric intake with balanced meals including proteins, healthy fats, fruits, and vegetables. Monitoring / Follow-Up: Schedule follow?up visits to monitor weight gain and nutritional improvement."
BMI,Normal,18.5,24.9,"Implication: BMI is within the healthy range indicating appropriate weight relative to height. Clinical Action: Record the value and continue routine monitoring. Advice to Patient: Encourage maintenance of current healthy habits. Lifestyle Recommendations: Balanced diet, regular physical activity, proper hydration, and adequate sleep. Monitoring / Follow-Up: Periodic weight monitoring during routine health visits."
BMI,Overweight,25,29.9,"Implication: BMI indicates overweight status which increases risk of cardiovascular disease, hypertension, and diabetes. Clinical Action: Assess diet and physical activity and counsel on weight management. Advice to Patient: Explain that gradual weight reduction improves long?term health. Lifestyle Recommendations: Reduce high?calorie foods and sugary drinks, increase exercise to at least 150 minutes per week. Monitoring / Follow-Up: Regular monitoring of weight and metabolic indicators."
BMI,Obese,30,100,"Implication: BMI indicates obesity which is associated with high risk of cardiovascular disease, diabetes, and other metabolic complications. Clinical Action: Perform full assessment including blood pressure and glucose levels and consider referral to a nutrition specialist. Advice to Patient: Explain risks associated with obesity and importance of lifestyle changes. Lifestyle Recommendations: Structured diet plan, increased daily activity, avoid sedentary behavior and high?sugar foods. Monitoring / Follow-Up: Continuous follow?up required."
SpO2,Normal,95,100,"Implication: Oxygen saturation is within the normal range indicating effective oxygen delivery. Clinical Action: Record the reading and continue routine monitoring. Advice to Patient: Reassure patient that oxygen levels are healthy. Lifestyle Recommendations: Avoid smoking, maintain physical activity, and practice healthy breathing habits. Monitoring / Follow-Up: Continue monitoring during routine examinations."
SpO2,Mildly Low,91,94,Implication: Oxygen saturation is slightly below normal and may indicate mild respiratory compromise. Clinical Action: Recheck the measurement and assess for symptoms such as cough or breathlessness. Advice to Patient: Encourage rest and report any breathing difficulty. Lifestyle Recommendations: Avoid strenuous activity and polluted environments. Monitoring / Follow-Up: Observe closely and reassess if symptoms persist.
SpO2,Low,86,90,Implication: Oxygen saturation is low and may indicate respiratory or cardiovascular dysfunction. Clinical Action: Immediate clinical evaluation and consider oxygen therapy if required. Advice to Patient: Inform patient that medical attention is necessary. Lifestyle Recommendations: Avoid exertion and remain under supervision. Monitoring / Follow-Up: Continuous monitoring until oxygen level improves.
SpO2,Critical,0,85,Implication: Oxygen level is critically low indicating severe hypoxemia and potential organ damage. Clinical Action: Initiate emergency medical intervention and administer oxygen immediately. Advice to Patient: Explain urgency of treatment. Lifestyle Recommendations: Patient must remain under emergency medical care. Monitoring / Follow-Up: Continuous monitoring and urgent stabilization.
Pulse,Bradycardia,0,59,Implication: Heart rate below normal range which may indicate bradycardia. Clinical Action: Evaluate symptoms such as dizziness or fainting and consider ECG testing. Advice to Patient: Inform patient about slow heart rate and possible causes. Lifestyle Recommendations: Avoid sudden intense exertion until medical evaluation. Monitoring / Follow-Up: Continue monitoring heart rate.
Pulse,Normal,60,100,"Implication: Heart rate within normal resting range indicating stable cardiovascular function. Clinical Action: Record reading and continue routine monitoring. Advice to Patient: Encourage healthy cardiovascular habits. Lifestyle Recommendations: Maintain regular exercise, balanced diet, hydration, and adequate sleep. Monitoring / Follow-Up: Routine monitoring during health visits."
Pulse,Tachycardia,101,120,"Implication: Elevated heart rate possibly caused by fever, dehydration, anxiety, or illness. Clinical Action: Assess underlying cause and monitor symptoms. Advice to Patient: Rest and drink adequate fluids. Lifestyle Recommendations: Reduce caffeine and stimulant intake. Monitoring / Follow-Up: Further evaluation if persistent."
Pulse,Severe Tachycardia,121,300,Implication: Dangerously high pulse rate indicating possible serious cardiovascular disturbance. Clinical Action: Immediate clinical assessment required. Advice to Patient: Inform patient about urgency of condition. Lifestyle Recommendations: Avoid physical activity and remain under supervision. Monitoring / Follow-Up: Continuous monitoring and diagnostic evaluation.
Blood Pressure,Severe hypotension,0,70,"Implication: Critically low blood pressure that may indicate shock or severe circulatory compromise, potentially leading to organ failure if untreated. Symptoms may include severe dizziness, confusion, cold or clammy skin, rapid breathing, weak pulse, or loss of consciousness. Clinical action: Medical emergency requiring urgent intervention such as rapid fluid resuscitation, oxygen therapy, monitoring of vital organs, and treatment of underlying causes (e.g., hemorrhage, severe infection, cardiac problems). Patient advice: Seek emergency medical care immediately. The patient should remain lying down with legs elevated if possible until professional help arrives. Lifestyle recommendations: After stabilization, follow strict medical guidance, attend regular follow-up appointments, maintain proper hydration and nutrition, adhere to prescribed medications, and manage any underlying medical conditions contributing to low blood pressure."
Blood Pressure,Moderate hypotension,71,79,"Implication: Moderately low blood pressure that may reduce blood flow to vital organs, leading to symptoms such as weakness, blurred vision, confusion, nausea, or fainting. There is increased risk of falls and reduced organ perfusion. Clinical action: Immediate reassessment of vital signs, evaluate for causes such as dehydration, bleeding, infection, or medication effects. Consider fluid replacement and close monitoring in a clinical setting. Patient advice: Seek medical evaluation promptly if symptoms persist, avoid sudden movements, lie down with legs elevated if feeling faint, and follow medical instructions carefully. Lifestyle recommendations: Maintain adequate fluid intake, avoid skipping meals, stand up slowly, monitor blood pressure regularly, and follow dietary and medication guidance from healthcare providers."
Blood Pressure,Mild hypotension,80,89,"Implication: Slightly reduced blood pressure which may cause mild symptoms such as dizziness, lightheadedness, fatigue or fainting especially when standing quickly. Often not immediately dangerous but should be monitored. Clinical action: Recheck blood pressure after a few minutes, assess hydration status, review medications that may lower blood pressure, and monitor for worsening symptoms. Patient advice: Sit or lie down if feeling dizzy, rise slowly from sitting or lying positions, and report persistent dizziness or fainting to a healthcare provider. Lifestyle recommendations: Maintain good hydration, eat balanced meals regularly, avoid prolonged standing, reduce alcohol intake, and ensure adequate salt intake if advised by a clinician."
Blood Pressure,Normal,90,119,"Implication: Blood pressure within healthy range. Clinical Action: Document reading and maintain routine monitoring. Advice to Patient: Encourage healthy habits. Lifestyle Recommendations: Balanced diet, regular exercise, reduced salt intake. Monitoring / Follow-Up: Periodic BP checks."
Blood Pressure,Elevated,120,129,Implication: Slightly elevated blood pressure which increases risk of hypertension. Clinical Action: Counsel on lifestyle modifications. Advice to Patient: Explain importance of controlling salt intake and maintaining healthy weight. Lifestyle Recommendations: Exercise regularly and reduce processed foods. Monitoring / Follow-Up: Regular BP monitoring.
Blood Pressure,Hypertension Stage 1,130,139,"Implication: Stage 1 hypertension indicating increased cardiovascular risk. Clinical Action: Assess risk factors and consider treatment plan. Advice to Patient: Stress importance of lifestyle changes. Lifestyle Recommendations: Weight control, low?sodium diet, physical activity. Monitoring / Follow-Up: Regular follow?up visits."
Blood Pressure,Hypertension Stage 2,140,179,"Implication: Significantly elevated blood pressure requiring medical management. Clinical Action: Initiate or adjust antihypertensive therapy. Advice to Patient: Stress medication adherence and lifestyle change. Lifestyle Recommendations: Reduce salt intake, avoid smoking, increase activity. Monitoring / Follow-Up: Close monitoring to prevent complications."
Blood Pressure,Hypertensive Crisis,180,300,Implication: Extremely high blood pressure which may lead to stroke or heart attack. Clinical Action: Immediate emergency medical evaluation required. Advice to Patient: Explain urgency and need for emergency treatment. Lifestyle Recommendations: Patient should remain under emergency care. Monitoring / Follow-Up: Continuous monitoring and stabilization.
Temperature,Hypothermia,0,35.9,"Body temperature below normal; risk of organ dysfunction,Immediate assessment and warming; monitor vitals; hospital admission if severe,Seek medical attention immediately; avoid further cold exposure,Dress warmly; keep living spaces heated; avoid prolonged exposure to cold water or environments"
Temperature,Normal,36,37.3,"Body temperature within normal physiological range,Routine monitoring during checkups,Maintain usual activities; no concern,Balanced diet; regular physical activity; stay hydrated; avoid stress"
Temperature,Fever,37.4,40,"Elevated temperature; could indicate infection or inflammation,Assess cause; provide antipyretics if needed; monitor for complications,Rest; hydrate; monitor temperature; seek care if persistent or >39°C,Wash hands regularly; avoid crowded places when sick; stay hydrated; get vaccinations; proper nutrition"
